  0  Lactuca virosa              | Bitter Lettuce              | Acı Marul
833  Loropetalum chinense        | Chinese Fringe Flower       | Çin Saçak Çiçeği
834  Hypericum frondosum         | Cedarglade St. John's Wort  | —
835  Liriope muscari             | Lilyturf                    | Zambak Çimi
836  Limnanthes douglasii        | Meadowfoam                  | Çayır Köpüğü
837  Nothofagus alpina           | Rauli Beech                 | Rauli Kayını
838  Nothofagus pumilio          | Lenga Beech                 | Lenga Kayını
839  Abeliophyllum distichum     | White Forsythia             | Beyaz Forsitia
840  Dendrobium aphyllum         | Leafless Dendrobium         | Yaprakssız Dendrobium
841  Dendrobium spp.             | Dendrobium Orchid           | Dendrobium Orkidesi
842  Vanilla planifolia          | Vanilla                     | Vanilya
843  Heteromorpha arborescens    | Parsley Tree                | Maydanoz Ağacı
844  Lapageria rosea             | Chilean Bellflower          | Şili Çan Çiçeği
845  Peperomia argyreia          | Watermelon Peperomia        | Karpuz Peperomu
846  Peperomia dolabriformis     | Prayer Pepper               | Dua Biberi
847  Hebe franciscana            | —                           | —
848  Maurandya barclayana        | Climbing Snapdragon         | Tırmanıcı Aslanağzı
849  Sasa palmata                | Bamboo                      | Bambu
850  Anemone patens              | Pasque Flower               | Paskalya Çiçeği
851  Fragaria virginiana         | Wild Strawberry             | Yabani Çilek
852  Fragaria x ananassa         | Garden Strawberry           | Bahçe Çileği
853  Mussaenda philippica        | Philippine Mussaenda        | Filipin Mussaendası
854  Limonia acidissima          | Wood Apple                  | Tahta Elma
855  Illicium floridanum         | Florida Anise               | Florida Anısonu
856  Browallia speciosa          | Sapphire Flower             | Safir Çiçeği
857  Alocasia cuprea             | Giant Caladium              | Dev Kaladyum
858  Alocasia micholitziana      | Green Velvet Alocasia       | Yeşil Kadife Alokasya
859  Alocasia odora              | Night-scented Lily          | Gece Kokulu Zambak
860  Daphne odora                | Winter Daphne               | Kış Defnesi
861  Alocasia sanderiana         | Kris Plant                  | Kris Bitkisi
862  Daphne tangutica            | —                           | —
863  Kniphofia uvaria            | Red Hot Poker               | Kızıl Ateş Mızrağı
864  Zamia furfuracea            | Cardboard Cycad             | Karton Sikad
865  Guaiacum sanctum            | Holywood Lignum Vitae       | Kutsal Yaşam Ağacı
866  Nepenthes spp.              | Pitcher Plants              | Sürahi Bitkiler
867  Pelargonium spp.            | Geranium                    | Sardunya
868  Pancratium maritimum        | Sea Daffodil                | Kum Zambağı
869  Sedum palmeri               | Palmer's Stonecrop          | Palmer Damkoruğu
870  Aphelandra sinclairiana     | Panama Queen                | Panama Kraliçesi
871  Alocasia macrorrhizos       | Giant Taro                  | Dev Gölek
872  Acacia confusa              | Small Philippine Acacia     | Küçük Filipin Akasyası
873  Acacia koaia                | Koaia                       | Koaia
874  Nephrolepis falcata         | Fishtail Sword Fern         | Balık Kuyruğu Kılıç Eğreltisi
875  Tradescantia zebrina        | Inch Plant                  | Çizgili Tradeskansiya
876  Calodendrum capense         | Cape Chestnut               | Kap Kestanesi
877  Pelargonium grandiflorum    | Large-flowered Geranium     | Büyük Çiçekli Sardunya
878  Hypericum revolutum         | Curry Bush                  | Köri Çalısı
879  Schkuhria pinnata           | Dwarf Marigold              | Cüce Kadife Çiçeği
880  Maytenus boaria             | Chilean Mayten              | Şili Mayteni
881  Melampodium perfoliatum     | —                           | —
882  Hernandia nymphaeifolia     | —                           | —
883  Mazus pumilus               | Japanese Mazus              | Japon Mazusu
884  Melampodium divaricatum     | —                           | —
885  Breynia vitis-idaea         | —                           | —
886  Prosopis farcta             | Syrian Mesquite             | Suriye Mezkiti
887  Acacia farnesiana           | Sweet Acacia                | Tatlı Akasya
888  Freycinetia cumingiana      | —                           | —
889  Crotalaria laburnifolia     | —                           | —
890  Dalbergia sissoo            | Shisham                     | Şişam Ağacı
891  Dischidia nummularia        | String of Nickels           | Madeni Para Sarmaşığı
892  Schefflera heptaphylla      | Common Schefflera           | Sıradan Şefera
893  Schinopsis balansae         | Red Quebracho               | Kırmızı Quebracho
894  Smilax china                | China Root                  | Çin Kökü
895  Barringtonia acutangula     | Indian Oak                  | Hint Meşesi
896  Maerua triphylla            | —                           | —
897  Asystasia mysorensis        | —                           | —
898  Lactuca virosa              | Bitter Lettuce              | Acı Marul
899  Calendula arvensis          | Field Marigold              | Tarla Nergizi
900  Herbertia lahue             | Prairie Iris                | Çayır Süseni
901  Hypericum hypericoides      | St. Andrew's Cross          | Aziz Andrew'in Haçı
902  Hypericum tetrapetalum      | Four-petal St. John's Wort  | Dört Yapraklı Kantaron
903  Keckiella cordifolia        | Climbing Penstemon          | Tırmanıcı Penstemon
904  Liriope muscari             | Lilyturf                    | Zambak Çimi
905  Lupinus chamissonis         | Silver Bush Lupine          | Gümüş Çalı Acı Bakla
906  Lupinus diffusus            | Sky Blue Lupine             | Gök Mavi Acı Bakla
907  Lupinus formosus            | Summer Lupine               | Yaz Acı Bakla
908  Lupinus hirsutissimus       | Stinging Lupine             | Yakıcı Acı Bakla
909  Lupinus subcarnosus         | Texas Bluebonnet            | Teksas Mavi Boneti
910  Lupinus texensis            | Texas Bluebonnet            | Teksas Mavi Boneti
911  Lyonothamnus floribundus    | Catalina Ironwood           | Catalina Demir Ağacı
912  Mazus pumilus               | Japanese Mazus              | Japon Mazusu
913  Melampodium leucanthum      | Blackfoot Daisy             | Kara Ayak Papatyası
914  Metasequoia glyptostroboides| Dawn Redwood                | Şafak Sekoyası
915  Aralia californica          | California Spikenard        | Kaliforniya Hindin
916  Nyctaginia capitata         | Devil's Bouquet             | Şeytan Buketi
917  Aralia spinosa              | Devil's Walking Stick       | Şeytan'ın Bastonu
918  Pelargonium panduriforme    | Fiddle-leaved Geranium      | Keman Yapraklı Sardunya
919  Pelargonium zonale          | Zonal Geranium              | Zonlu Sardunya
920  Prosopis glandulosa         | Honey Mesquite              | Bal Mezkiti
921  Prosopis pubescens          | Screwbean Mesquite          | Vida Fasulyeli Mezkit
922  Sagittaria montevidensis    | Giant Arrowhead             | Dev Ok Otu
923  Sedum albomarginatum        | White-margined Stonecrop    | Beyaz Kenarlı Damkoruğu
924  Sedum glaucophyllum         | Glaucous Stonecrop          | Donuk Yapraklı Damkoruğu
925  Sedum laxum                 | Roseflower Stonecrop        | Gül Çiçekli Damkoruğu
926  Sedum moranense             | Red Stonecrop               | Kırmızı Damkoruğu
927  Sedum niveum                | Davidson's Stonecrop        | Davidson Damkoruğu
928  Sedum obtusatum             | Sierra Stonecrop            | Sierra Damkoruğu
929  Sedum pulchellum            | Widow's Cross               | Dul Haçı
930  Smilax bona-nox             | Fringed Greenbrier          | Saçaklı Gıcır
931  Smilax glauca               | Whiteleaf Greenbrier        | Beyaz Yapraklı Gıcır
932  Smilax laurifolia           | Laurel Greenbrier           | Defne Yapraklı Gıcır
933  Stanleya pinnata            | Prince's Plume              | Prens Tüyü
934  Tagetes lemmonii            | Copper Canyon Daisy         | Bakır Kanyon Papatyası
935  Tradescantia crassifolia    | —                           | —
936  Xylococcus bicolor          | Mission Manzanita           | Misyon Manzanitası
937  Brodiaea elegans            | Harvest Brodiaea            | Hasat Brodiyası
938  Calochortus eurycarpus      | Big-pod Mariposa Lily       | Büyük Kaplı Mariposa Zambağı
939  Calochortus gunnisonii      | Gunnison's Mariposa Lily    | Gunnison Mariposa Zambağı
940  Calochortus leichtlinii     | Leichtlin's Mariposa Lily   | Leichtlin Mariposa Zambağı
941  Calochortus luteus          | Yellow Mariposa Lily        | Sarı Mariposa Zambağı
942  Calochortus splendens       | Splendid Mariposa Lily      | Görkemli Mariposa Zambağı
943  Calochortus tolmiei         | Tolmie's Star-tulip         | Tolmie Yıldız Lalesi
944  Calylophus hartwegii        | Hartweg's Evening Primrose  | Hartweg Akşam Çuhaçiçeği
945  Chaerophyllum tainturieri   | Hairyfruit Chervil          | Tüylü Meyveli Frenk Maydanozu
946  Cirsium altissimum          | Tall Thistle                | Uzun Boylu Devedikeni
947  Cirsium horridulum          | Bristly Thistle             | Dikenli Devedikeni
948  Cirsium texanum             | Texas Thistle               | Teksas Devedikenesi
949  Diervilla sessilifolia      | Southern Bush Honeysuckle   | Güney Çalı Hanımeli
950  Acacia berlandieri          | Guajillo                    | Guajillo Akasyası
951  Elephantopus elatus         | Tall Elephant's Foot        | Uzun Fil Ayağı
952  Alocasia cucullata          | Chinese Taro                | Çin Göleği
953  Acacia redolens             | —                           | —
954  Acacia rigidula             | Blackbrush Acacia           | Siyah Fırça Akasyası
955  Hackelia velutina           | Velvet Stickseed            | Kadife Yapışkan Tohum
956  Haplophyton crooksii        | Cockroach Plant             | Hamamböceği Bitkisi
957  Aextoxicon punctatum        | Olivillo                    | Olivillo
958  Lithops aucampiae           | Aucamp's Living Stone       | Aucamp Yaşayan Taşı
959  Lithops olivacea            | Olive Living Stone          | Zeytin Yaşayan Taşı
960  Cyrtanthus elatus           | Vallota                     | Vallota
961  Guatteria aeruginosa        | —                           | —
962  Dischidia ovata             | Watermelon Dischidia        | Karpuz Diskidyası
963  Trachelospermum asiaticum   | Asian Jasmine               | Asya Yasemini
964  Alocasia baginda            | Dragon Scale Alocasia       | Ejderha Pullu Alokasya
965  Alocasia lauterbachiana     | —                           | —
966  Alocasia reginula           | Black Velvet Alocasia       | Siyah Kadife Alokasya
967  Alocasia wentii             | —                           | —
968  Alocasia zebrina            | Zebra Alocasia              | Zebra Alokasyası
969  Anthurium clarinervium      | Velvet Cardboard Anthurium  | Kadife Karton Anturyum
970  Anthurium faustomirandae    | Faustino's Giant Anthurium  | —
971  Anthurium salvinii          | —                           | —
972  Anthurium schlechtendalii   | —                           | —
973  Anthurium veitchii          | King Anthurium              | Kral Anturyum
974  Anthurium warocqueanum      | Queen Anthurium             | Kraliçe Anturyum
975  Wodyetia bifurcata          | Foxtail Palm                | Tilki Kuyruğu Palmiyesi
976  Cereus forbesii             | Silver Torch Cactus         | Gümüş Meşale Kaktüsü
977  Cereus uruguayanus          | Uruguayan Cereus            | Uruguay Sereüsü
978  Coryphantha elephantidens   | Elephant Tooth Cactus       | Fil Dişi Kaktüsü
979  Pilosocereus chrysostele    | —                           | —
980  Pilosocereus pachycladus    | Blue Torch Cactus           | Mavi Meşale Kaktüsü
981  Selenicereus anthonyanus    | Fishbone Cactus             | Balık Kılçığı Kaktüsü
982  Stenocactus multicostatus   | Brain Cactus                | Beyin Kaktüsü
983  Tephrocactus geometricus    | —                           | —
984  Pterocephalus perennis      | Perennial Scabious          | Çok Yıllık Uyuz Otu
985  Maytenus ilicifolia         | Holy Thorn                  | Kutsal Diken
986  Cyanotis somaliensis        | Pussy Ears                  | Kedi Kulakları
987  Tradescantia x andersoniana | Spiderwort                  | Örümcek Otu
988  Tradescantia sillamontana   | White Velvet                | Beyaz Kadife
989  Cirsium palustre            | Marsh Thistle               | Bataklık Devedikenesi
990  Erechtites minima           | —                           | —
991  Lactuca alpina              | Alpine Blue Sow-thistle     | Alp Marulu
992  Leptinella potentillina     | —                           | —
993  Leucophyta brownii          | Cushion Bush                | Yastık Çalısı
994  Melampodium divaricatum     | —                           | —
995  Othonna capensis            | Little Pickles              | Küçük Turşular
996  Rhodanthe chlorocephala     | Pink Paper Daisy            | Pembe Kağıt Papatyası
997  Tagetes lemmonii            | Copper Canyon Daisy         | Bakır Kanyon Papatyası
998  Tagetes lunulata            | —                           | —
999  Sedum adolphii              | Golden Sedum                | Altın Damkoruğu
1000 Sedum allantoides           | —                           | —
1001 Sedum burrito               | Burro's Tail                | Eşek Kuyruğu
1002 Sedum clavatum              | —                           | —
1003 Sedum compressum            | —                           | —
1004 Sedum cyaneum               | Blue Stonecrop              | Mavi Damkoruğu
1005 Sedum decumbens             | Trailing Stonecrop          | Sürünen Damkoruğu
1006 Sedum furfuraceum           | —                           | —
1007 Sedum hernandezii           | —                           | —
1008 Sedum japonicum             | Japanese Stonecrop          | Japon Damkoruğu
1009 Sedum makinoi               | Makinoi Stonecrop           | Makinoi Damkoruğu
1010 Sedum nussbaumerianum       | Coppertone Stonecrop        | Bakır Tonu Damkoruğu
1011 Sedum praealtum             | Shrubby Stonecrop           | Çalılı Damkoruğu
1012 Sedum rubrotinctum          | Christmas Cheer             | Noel Sevinci
1013 Uncinia rubra               | Red Hook Sedge              | Kırmızı Çengel Çimi
1014 Empetrum rubrum             | Red Crowberry               | Kırmızı Kartal Mersini
1015 Acalypha macrostachya       | —                           | —
1016 Pelargonium echinatum       | Cactus Geranium             | Kaktüs Sardunyası
1017 Pelargonium × hortorum      | Garden Geranium             | Bahçe Sardunyası
1018 Pelargonium sidoides        | African Geranium            | Afrika Sardunyası
1019 Pelargonium tomentosum      | Peppermint Geranium         | Nane Sardunyası
1020 Lavandula canariensis       | Canary Islands Lavender     | Kanarya Adaları Lavantası
1021 Acacia auriculiformis       | Earleaf Acacia              | Kulaklı Akasya
1022 Acacia brevispica           | Wait-a-bit Thorn            | Dur-Bekle Dikeni
1023 Acacia caven                | Espinillo                   | —
1024 Acacia cognata              | Bower Wattle                | Çardak Akasyası
1025 Acacia confluens            | —                           | —
1026 Acacia podalyriifolia       | Queensland Silver Wattle    | Queensland Gümüş Akasya
1027 Acacia saligna              | Blue-leaved Wattle          | Mavi Yapraklı Akasya
1028 Dalbergia retusa            | Cocobolo                    | Kokobolo
1029 Lupinus nootkatensis        | Nootka Lupin                | Nootka Acı Bakla
1030 Prosopis pallida            | Huarango                    | Huarango
1031 Cedrela fissilis            | Argentine Cedar             | Arjantin Sediri
1032 Nepenthes mirabilis         | Tropical Pitcher Plant      | Tropikal Sürahi Bitkisi
1033 Nepenthes × neglecta        | —                           | —
1034 Nothofagus betuloides       | Magellan's Beech            | Magellan Kayını
1035 Nothofagus dombeyi          | Coihue Beech                | Koiwe Kayını
1036 Nothofagus nitida           | Patagonian Beech            | Patagonya Kayını
1037 Nymphaea rubra              | Red Indian Waterlily        | Kırmızı Hint Nilüferi
1038 Dendrobium anosmum          | Hono Hono Orchid            | —
1039 Dendrobium kingianum        | Rock Orchid                 | Kaya Orkidesi
1040 Dendrobium munificum        | —                           | —
1041 Dendrobium thyrsiflorum     | White Crane Orchid          | Beyaz Turna Orkidesi
1042 Dendrobium victoriae-reginae| Blue Orchid                 | Mavi Orkide
1043 Erycina pusilla             | —                           | —
1044 Adlumia fungosa             | Climbing Fumitory           | Tırmanıcı Şahtere
1045 Peperomia albovittata       | Ivory Ripple Peperomia      | —
1046 Peperomia clusiifolia       | Red Edge Peperomia          | Kırmızı Kenarlı Peperomu
1047 Peperomia columella         | Column Peperomia            | Sütun Peperomu
1048 Peperomia ferreyrae         | Happy Bean                  | Mutlu Fasulye
1049 Peperomia graveolens        | Ruby Glow Peperomia         | Yakut Parlak Peperomu
1050 Peperomia maculosa          | Spotted Peperomia           | Benekli Peperomu
1051 Peperomia pecuniifolia      | —                           | —
1052 Peperomia polybotrya        | Coin-leaf Peperomia         | Madeni Para Yapraklı Peperomu
1053 Peperomia prostrata         | String of Turtles           | Kaplumbağa Dizisi
1054 Peperomia tetragona         | —                           | —
1055 Peperomia verticillata      | Red Log Peperomia           | Kırmızı Kütük Peperomu
1056 Hebe andersonii             | Anderson's Hebe             | Anderson Hebesi
1057 Lomatia ferruginea          | —                           | —
1058 Anemone pavoniana           | Peacock Anemone             | Tavus Kuşu Anemonu
1059 Anemone tomentosa           | Grape-leaved Anemone        | Asma Yapraklı Anemon
1060 Hepatica nobilis            | Liverleaf                   | Hepatika
1061 Fragaria × ananassa         | Garden Strawberry           | Bahçe Çileği
1062 Margaritopsis haematocarpa  | —                           | —
1063 Angostura granulosa         | —                           | —
1064 Smilax excelsa              | Tall Smilax                 | Yüksek Gıcır
1065 Coussapoa villosa           | —                           | —
1066 Cyphostemma cyphopetalum    | —                           | —
1067 Cyphostemma juttae          | Tree Grape                  | Ağaç Üzümü
1068 Cyphostemma serpens         | —                           | —
1069 Nepenthes alata             | Winged Pitcher Plant        | Kanatlı Sürahi Bitkisi
1070 Nepenthes truncata          | Truncate Pitcher Plant      | Kesik Sürahi Bitkisi
1071 Lavandula spp.              | Lavender                    | Lavanta
1072 Cymbalaria muralis          | Ivy-leaved Toadflax         | Sarmaşık Yapraklı Koyungözü
1073 Aphelandra aurantiaca       | Orange Aphelandra           | Turuncu Aphelandra
1074 Guatteria dolichopoda       | —                           | —
1075 Stenanona costaricensis     | —                           | —
1076 Schefflera morototoni       | —                           | —
1077 Bourreria andrieuxii        | —                           | —
1078 Bourreria costaricensis     | —                           | —
1079 Alibertia edulis            | Marmelada                   | Marmelad Ağacı
1080 Acacia senegalensis         | Gum Arabic                  | Arap Zamkı
